state	prob
AA	0.007504394559288837
AR	0.0038092027806405212
AN	0.003386233311506625
AD	0.004941698206629583
AC	0.0016725945021388916
AQ	0.003181678810325732
AE	0.00502952158921427
AG	0.00721193004760594
AH	0.002116432636556506
AI	0.004198508641101691
AL	0.0074681061247211635
AK	0.005373408432621634
AM	0.0016894782832256412
AF	0.0033292754558650606
AP	0.0039643620433623674
AS	0.00602219089384811
AT	0.005285403131410568
AW	0.0012462205558540997
AY	0.0030557304813260675
AV	0.0061415381755475775
RA	0.003809202780640525
RR	0.0019335371707074128
RN	0.0017188394405678697
RD	0.0025083876388775025
RC	0.0008490027514005428
RQ	0.0016150083362016507
RE	0.0025529664613932676
RG	0.0036607488817497385
RH	0.0010742933384586559
RI	0.002131147378229454
RL	0.0037907829061565456
RK	0.002727522144704402
RM	0.0008575728959145707
RF	0.0016899278447855513
RP	0.002012295435659069
RS	0.003056841710168316
RT	0.00268285098097017
RW	0.0006325769213153775
RY	0.001551077432615471
RV	0.0031174219466843615
NA	0.0033862333115066328
NR	0.00171883944056787
NN	0.0015279814979562837
ND	0.002229859177911812
NC	0.0007547304682660872
NQ	0.001435679679275922
NE	0.0022694880195575835
NG	0.003254263561772682
NH	0.0009550050492209991
NI	0.0018945072393014293
NL	0.0033698587585717183
NK	0.0024246612417722245
NM	0.0007623489938497916
NF	0.001502280212316027
NP	0.001788852478910479
NS	0.0027174135437426907
NT	0.002384950312370041
NW	0.000562336311927256
NY	0.0013788475892495032
NV	0.00277126702089338
DA	0.004941698206629598
DR	0.0025083876388775025
DN	0.002229859177911812
DD	0.0032541440848387845
DC	0.0011014156020631102
DQ	0.0020951585563416903
DE	0.0033119764187852503
DG	0.004749108206001596
DH	0.0013936862303672321
DI	0.0027647483695496474
DL	0.004917802009460352
DK	0.003538428397545645
DM	0.0011125336942767285
DF	0.002192352017160382
DP	0.0026105611379222036
DS	0.003965656350421233
DT	0.0034804762688652197
DW	0.0008206452682190453
DY	0.0020122206688641116
DV	0.0040442474004094425
CA	0.001672594502138885
CR	0.000849002751400542
CN	0.0007547304682660859
CD	0.001101415602063109
CC	0.00037279121539823964
CQ	0.0007091389510077832
CE	0.0011209898536179597
CG	0.001607409425521869
CH	0.00047171474848294487
CI	0.0009357720219543949
CL	0.0016645064631012755
CK	0.0011976360426071968
CM	0.00037655430637085775
CF	0.0007420355872271095
CP	0.0008835849588969832
CS	0.0013422379780675842
CT	0.0011780212446642383
CW	0.0002777601355720243
CY	0.0006810673349734595
CV	0.0013688383394476564
QA	0.003181678810325734
QR	0.0016150083362016512
