state	prob
AA	0.006251419853154036
AR	0.0044230222599510585
AN	0.0033189468441029678
AD	0.004194601042793697
AC	0.0010228747962493653
AQ	0.003223277175442415
AE	0.005660007355979615
AG	0.004533398175199115
AH	0.0017675168949644379
AI	0.004914495533004025
AL	0.007833922678146803
AK	0.0051076533846881175
AM	0.0018146401367179104
AF	0.003344643242710163
AP	0.0034820596758771663
AS	0.0048385923248105015
AT	0.00421318151563276
AW	0.0009540084479821482
AY	0.0027004938290096365
AV	0.005467165767662992
RA	0.004423022259951052
RR	0.0031293892222184253
RN	0.0023482306605363316
RD	0.0029677759964450412
RC	0.0007237072695847382
RQ	0.002280542185913347
RE	0.0040045844168271625
RG	0.0032074827020313968
RH	0.001250558553881642
RI	0.003477117782760959
RL	0.005542679135636188
RK	0.0036137813724336403
RM	0.0012838993232000696
RF	0.0023664114491747336
RP	0.0024636367127241128
RS	0.00342341453016752
RT	0.002980922105152815
RW	0.0006749827560338109
RY	0.0019106610336760178
RV	0.0038681445907069512
NA	0.0033189468441030033
NR	0.002348230660536334
NN	0.0017620650048682308
ND	0.002226959350079076
NC	0.0005430553628887317
NQ	0.0017112729364524167
NE	0.0030049595120779735
NG	0.002406830435336729
NH	0.0009383939582111465
NI	0.0026091591706790497
NL	0.004159114818766209
NK	0.0027117087765797378
NM	0.0009634122001746363
NF	0.0017757075025832188
NP	0.0018486633826713902
NS	0.002568861331274766
NT	0.002236823925349915
NW	0.0005064934690125547
NY	0.0014337215675554306
NV	0.002902577813841477
DA	0.004194601042793722
DR	0.002967775996445043
DN	0.002226959350079077
DD	0.0028145090749790392
DC	0.0006863323513346119
DQ	0.0021627665584647254
DE	0.0037977728764504487
DG	0.0030418364403240867
DH	0.00118597508804864
DI	0.003297546568903571
DL	0.00525643469912535
DK	0.003427152345691886
DM	0.0012175940168107507
DF	0.0022442012155953228
DP	0.002336405407186855
DS	0.0032466167507632536
DT	0.0028269762700446387
DW	0.0006401241517510559
DY	0.0018119874360233148
DV	0.0036683793072377242
CA	0.0010228747962493863
CR	0.0007237072695847386
CN	0.0005430553628887306
CD	0.0006863323513346117
CC	0.00016736563426856364
CQ	0.0005274016241962244
CE	0.0009261062297866154
CG	0.0007417672854646881
CH	0.00028920605658759797
CI	0.0008041235007521938
CL	0.0012818083333820532
CK	0.0008357285285421081
CM	0.0002969164931667169
CF	0.0005472598794796936
CP	0.0005697443405107499
CS	0.0007917040055911979
CT	0.0006893725402542286
CW	0.00015609752980478404
CY	0.00044186235127485567
CV	0.0008945529498932072
QA	0.003223277175442426
QR	0.0022805421859133485
QN	0.0017112729364524148
QD	0.0021627665584647245
QC	0.0005274016241962237
QQ	0.001661944965108408
QE	0.002918340625315832
QG	0.0023374528040920575
QH	0.0009113444623101639
QI	0.0025339493510987666
QL	0.004039227048541863
QK	0.002633542932911502
QM	0.0009356415457159741
QF	0.001724522184953904
QP	0.0017953750892480294
QS	0.002494813109371287
QT	0.002172346784304261
QW	0.0004918936382122308
QY	0.0013923941002104054
QV	0.0028189101111769574
EA	0.005660007355979628
ER	0.004004584416827164
EN	0.0030049595120779722
ED	0.0037977728764504452
EC	0.0009261062297866148
EQ	0.0029183406253158314
