	Name	Tax	Sites	Model	WAG	WAG+G-I	WAG-G-I	WAG+F	WAG+LG FRE	JTT	JTT+F	WAG'	WAG'-G-I	LG	LG+G-I	LG-G-I	LG+F			Model	WAG	WAG+G-I	WAG-G-I	WAG+F	WAG+LG FRE	JTT	JTT+F	WAG'	WAG'-G-I	LG	LG+G-I	LG-G-I	LG+F	
				#parameters 	2	1	0	21	2	2	21	2	0	2	1	0	21			AIC/site	-34.771	-34.797	-36.168	-34.729	-34.756	-34.941	-34.952	-34.646	-36.019	-34.524	-34.541	-36.075	-34.530	
21	M1497	13	269		-3545	-3549	-3618	-3516	-3530	-3593	-3573	-3523	-3593	-3516	-3518	-3600	-3502																	
22	M1498	14	251		-4159	-4169	-4276	-4147	-4143	-4204	-4205	-4132	-4242	-4119	-4123	-4248	-4133																	
23	M1499	22	513		-12468	-12472	-12920	-12489	-12469	-12568	-12588	-12440	-12890	-12366	-12366	-12882	-12380																	
24	M1500	27	269		-5033	-5031	-5433	-5031	-5036	-5099	-5116	-5010	-5403	-4990	-4992	-5405	-4993																	
25	M1502	13	269		-5658	-5668	-5785	-5628	-5653	-5698	-5677	-5617	-5741	-5593	-5598	-5741	-5583																	
26	M1503	23	479		-9851	-9851	-10453	-9838	-9845	-9947	-9938	-9839	-10433	-9786	-9786	-10448	-9772																	
27	M1504	37	547		-12579	-12586	-13130	-12593	-12571	-12606	-12565	-12540	-13095	-12446	-12450	-13038	-12435																	
28	M1506	15	251		-1867	-1867	-1936	-1839	-1870	-1862	-1840	-1864	-1932	-1852	-1852	-1921	-1830																	
29	M1507	17	269		-6271	-6282	-6461	-6262	-6271	-6329	-6322	-6232	-6414	-6203	-6211	-6408	-6199																	
30	M1508	22	431		-3149	-3153	-3288	-3139	-3164	-3147	-3139	-3134	-3263	-3106	-3115	-3224	-3086																	
31	M1601	36	340		-6915	-6919	-7100	-6940	-6935	-6786	-6806	-6979	-7169	-6965	-6969	-7159	-6974																	
32	M1768	31	228		-1052	-1053	-1056	-1022	-1050	-1042	-1018	-1053	-1056	-1052	-1052	-1055	-1026																	
33	M1812	34	176		-5419	-5421	-5538	-5308	-5425	-5423	-5328	-5379	-5493	-5355	-5358	-5479	-5280																	
34	M1882	8	705		-6188	-6192	-6279	-6163	-6202	-6230	-6211	-6198	-6298	-6209	-6210	-6340	-6173																	
35	M1989	18	173		-3174	-3180	-3304	-3165	-3168	-3198	-3186	-3170	-3301	-3171	-3173	-3333	-3168																	
36	M1990	35	153		-1454	-1454	-1513	-1455	-1456	-1464	-1466	-1453	-1513	-1458	-1458	-1522	-1459																	
37	M1993	28	93		-2000	-2005	-2086	-1994	-2017	-2026	-2026	-1990	-2067	-1995	-1994	-2073	-1983																	
38	M2302	24	365		-4203	-4205	-4247	-4183	-4212	-4111	-4096	-4233	-4281	-4221	-4222	-4269	-4191																	
39	M2304	31	429		-5506	-5506	-5609	-5479	-5518	-5396	-5380	-5551	-5662	-5551	-5551	-5670	-5519																	
40	M2344	7	232		-1582	-1583	-1591	-1580	-1585	-1562	-1557	-1596	-1607	-1589	-1590	-1601	-1583																	
41	M2476	30	719		-24524	-24535	-26142	-24531	-24467	-24758	-24852	-24389	-26001	-24310	-24316	-26169	-24406																	
42	M2477	39	888		-21151	-21163	-22760	-21101	-21125	-21133	-21127	-21085	-22666	-20971	-20973	-22656	-20955																	
43	M2478	30	276		-8716	-8725	-9064	-8712	-8710	-8854	-8862	-8686	-9031	-8678	-8681	-9082	-8689																	
44	M2479	30	627		-18050	-18054	-19033	-18018	-18123	-18201	-18172	-17979	-18958	-17903	-17903	-18948	-17815																	
45	M2480	40	430		-23852	-23871	-25112	-23755	-23746	-24187	-24143	-23722	-24988	-23717	-23745	-25193	-23717																	
46	M2558	27	1060		-36860	-37186	-39004	-37356	-36821	-36575	-37532	-36816	-38802	-36953	-37239	-39764	-37619																	
47	M2577	40	12260		-339774	-339873	-355799	-339195	-339604	-342455	-342426	-337611	-353248	-336175	-336199	-353439	-336145																	
48	M2636	20	1275		-19061	-19067	-20262	-19046	-19138	-19296	-19297	-18996	-20154	-18979	-18981	-20198	-18936																	
49	M2637	19	380		-1606	-1607	-1624	-1596	-1614	-1604	-1595	-1603	-1622	-1600	-1601	-1619	-1583																	
50	M2638	18	378		-1690	-1690	-1706	-1685	-1698	-1690	-1687	-1688	-1700	-1682	-1681	-1695	-1672																	
51	M2639	19	331		-5728	-5743	-6053	-5707	-5742	-5822	-5784	-5731	-6032	-5736	-5746	-6079	-5693																	
52	M2640	18	243		-2507	-2511	-2536	-2497	-2516	-2525	-2522	-2500	-2528	-2494	-2495	-2524	-2486																	
53	M2641	18	326		-5152	-5154	-5360	-5140	-5168	-5240	-5230	-5163	-5373	-5162	-5163	-5397	-5145																	
54	M337	42	55		-879	-880	-909	-905	-878	-867	-900	-883	-920	-880	-881	-918	-907																	
55	M658	18	193		-2098	-2099	-2159	-2043	-2088	-2101	-2049	-2078	-2135	-2067	-2067	-2127	-2029																	
56	M686	68	228		-1185	-1183	-1214	-1149	-1177	-1177	-1146	-1176	-1205	-1173	-1171	-1200	-1147																	
57	M730	57	386		-8961	-8961	-9364	-8956	-8985	-8982	-8992	-8941	-9324	-8869	-8860	-9261	-8850																	
58	M931	55	714		-14675	-14677	-15558	-14670	-14710	-14818	-14837	-14647	-15508	-14553	-14554	-15470	-14527																	
59	M964	9	12647		-177915	-178072	-180453	-176708	-177577	-178201	-177008	-177808	-180450	-177478	-177571	-181015	-176737																	
