state	prob
AA	0.010303858294053808
AR	0.0045046189617326945
AN	0.0026579502648900787
AD	0.004098317899715738
AC	0.001291518452390476
AQ	0.002611765901258242
AE	0.004063388972304833
AG	0.006644171782846656
AH	0.001980154769248546
AI	0.00642185895970828
AL	0.010892077321784557
AK	0.0029720114656922765
AM	0.002142950016759391
AF	0.004207637520377539
AP	0.003860521418988965
AS	0.004748192157909543
AT	0.004882931120994917
AW	0.0013883382254364493
AY	0.003072529399134757
AV	0.008637044259706675
RA	0.004505034377403086
RR	0.002535964961863855
RN	0.0017426051543794514
RD	0.0037662747678454977
RC	0.0006608781540640185
RQ	0.0016582326784623947
RE	0.0039005375479825273
RG	0.004082758139753042
RH	0.001229509394725135
RI	0.0026522287092137845
RL	0.005008545914785712
RK	0.001521314177164082
RM	0.0010129295839006898
RF	0.0020712652077910796
RP	0.0023302994768190388
RS	0.002878780551483555
RT	0.002720310959194927
RW	0.0008795596504000102
RY	0.0018294231671523965
RV	0.0036834028886498483
NA	0.002665788674882795
NR	0.0017429704785898652
NN	0.002081791930293967
ND	0.002170608604815625
NC	0.0005181873757089577
NQ	0.0012805443582734103
NE	0.0019543367348107926
NG	0.0029959436119547855
NH	0.0009024517945183209
NI	0.0018631384135614762
NL	0.0027431280498144313
NK	0.0018520131682398303
NM	0.0006924640937362627
NF	0.0013883874592022654
NP	0.001642172690189512
NS	0.0025344757961005228
NT	0.0021786481849562374
NW	0.0004969106740537551
NY	0.0013281174174505812
NV	0.0021180234303609137
DA	0.004093352386357884
DR	0.0037658826526555285
DN	0.002171031699589149
DD	0.0027239993247896244
DC	0.0006109717489977337
DQ	0.0015777361958744514
DE	0.002274966532604877
DG	0.004244755091698959
DH	0.0015006643159273113
DI	0.002297770009167648
DL	0.0037279178476118217
DK	0.003021461876700303
DM	0.0009048744784225356
DF	0.0017152645845533018
DP	0.00251496652285056
DS	0.0032529454779147895
DT	0.002987336135401687
DW	0.0006987741432251614
DY	0.0016991500818894542
DV	0.003040323911361967
CA	0.0012917415302968979
CR	0.0006615693406930487
CN	0.0005182345480655323
CD	0.0006109061519982868
CC	0.0009624592172276315
CQ	0.0004077259030928878
CE	0.0006262066389070438
CG	0.001032746405364266
CH	0.0004540100972076402
CI	0.0011147569792448497
CL	0.0017051820910962245
CK	0.0005332501182777619
